,MenuId,MenuTypeId,DishName,Description,Price,ImageURL
0,1,1,Stir-fried Asparaguses 清炒蘆筍 [Qin Chao Lu Sun],"""Qin Chao Lu Sun"" is a simple, light taste stir-fired asparaguses dish",75000,https://lh3.googleusercontent.com/proxy/zX_3EbpSV2o8PK0ssZ49-o-zaWg1MzoxoPr5caaGbJBMpX2soRFomKj802H62R4I0Y5aCrtLXdSXOG8NA835erkDiG-_h8fhE9ACmmxTZjkmJ1Vf1w=s0-d
1,2,3,Clay Oven Roll 燒餅 [Shao Bing],"""Shao Bing"" also called Clay Oven Roll, is a variety of baked flat and crispy bread with sesame on the top, often served with You Taio and Soy Milk as breakfast",68000,https://lh5.googleusercontent.com/proxy/9DBmYA4GmHX945rqcp_YNPL6hbkNI7f-NpLueNzj_SmuVGuqroa0s4492CGGghDdamoDoWgGTJ4xd6NtPK48K6sEAzvNwnEwVe8wrJe_rReVFSYvmw=s0-d
2,3,1,Clay oven roll with fried bread stick 燒餅油條 [Shao Bing You Tiao],"""Shao Bing You Tiao"" is a very common set of breakfast with You Tiao(Deep Fried Bread Stick) wrapped by a Clay Oven Roll",85000,https://lh3.googleusercontent.com/proxy/73Jkv0dnhOukw9TFQufv7UHQ8VWO4G4TLUiylTwlzMfzIktLK64dakFJYoRCw_FEEPdqRrRtEt9E0fCzIwqrgY5A_qAH-CyBrMQLRV4RNIKtB3KvQg=s0-d
3,4,2,Beef Noodle 牛肉麵 [Niu Rou Mian],"""Niu Rou Mian"" is a Chinese noodle soup with noodle, stewed beef, beef broth and vegetable",28000,https://lh6.googleusercontent.com/proxy/JqTcEZRtd-FHubwuaX5XwOmoZrUsNQi-N5CgAI1kqUVm7SgD2VSsypM7qi6dClRgQP6Wf2tAkFzzXt1bJAvZuPq8bd5cQDlrHkxvKy7I2_TorN8zyA=s0-d
4,5,2,Green chili Venison 杭椒鹿肉 [Hang Jiao Lu Rou],"""Hang Jiao Lu Rou"" is a stir fired green chili with venison (deer meat) dish",45000,https://lh5.googleusercontent.com/proxy/gDz0UO9HvVPkRWc_t1oNQW-WszGPISY37SyCUi8Thwec22PZCK8N6cMKvQfpQSApxGO-n8PUwypKCsu7Q2AzBGiLhmVhZes2BtVJksPgP2MtJA2lKA=s0-d
5,6,4,Soy milk豆漿 [Dou Jiang],"RegularShanghai Style Salted Soy Milk ""Dou Jiang"" is a traditional breakfast beverage of yellow soya beans juice to serve in cold, mild warm or hot in bowl or cup, with or without sugar or salt",61000,https://lh6.googleusercontent.com/proxy/j7ucDYZDcVihUA9LR1xKV8ndnENgF-mRq3VejdJHNxKWRNaInklVW5i5Nqqb76DP2wVbjfFhdGhA2tP-AA-SDymObbasaLTFqPG7mAlucdGa64Xqeg=s0-d
6,7,1,Salted egg Bitter melon 鹹蛋苦瓜 [Xian Dan Ku Gua],"""Xian Dan Ku Gua"" is a traditional Hakka summer dish, fried with salted duck egg and Bitter melon to mild the liver inflammation and to ease the digestion",83000,https://lh5.googleusercontent.com/proxy/tfRNVRwdpHc1EUDCM6BH4m2-5vjWAPJP6E8adhkFb71joM3nZ3q-caLiUOf8N-K4xz7X9NyERGi4WtLQ5AO-ZjQiRVbVmFzOPfEFva8z3TwN-15E6Q=s0-d
7,8,1,Fried bread stick 油條 [You Tiao],"""You Tiao"" (Chinese Cruller) is a chorro like deep fried bread stick breakfast in golden brown color",38000,https://lh6.googleusercontent.com/proxy/ZRG2BLmnSfJJCeby1w-x3quVgQEY1Wy4QJVKUPvt0gwOsZwBOlV-seR89uFOOBpWajJLQsVNYsra3pOnLF5NfW6SBoM1n54oWS4kwATZvVFgzimEaQ=s0-d
8,9,2,Hamburger 漢堡 [Han Bao],"""Han Bao"" a regular burger with a special recipe of sausage patty, sauce and the famous taiwanese sweet mayonnaise",70000,https://lh6.googleusercontent.com/proxy/6wme82bBaECAVs_sR4stI2H_8-ZFPhurMMzVESuebeAUVnGk2YyrnthoNgPV6FtsfVHqQGoAbHIqHpaqXXcJIIBBrK5fQDV-B67aWZ2xxrEQ-WrcnA=s0-d
9,10,2,Sandwich 三明治 [San Ming Zh],"""San Ming Zh"" Taiwanese sandwich is often made with white toast cut in triangle, salad, omelet, ham or sausage patty, shredded sweet cucumber and a special taiwanese sweet mayonnaise",57000,https://lh5.googleusercontent.com/proxy/VG0SxEqDisi66sSN0SQ4-Wgl2iJP5zzqK9v0miklXQbGFTY2Spy7tw1hOUUVt06w_ihRMxw8I-QGvmgoYt9KW1iE8FfTQPmOhBv6INkvPx4yiEpklg=s0-d
10,11,3,Spring Onion Pancakes 蔥油餅 [Tsung You Bing],"""Tsung You Bing"" also called scallion pancake, is a flat pan fried pancake with spring onion(scallion) or sugar",96000,https://lh3.googleusercontent.com/proxy/ezfOLJxiwpilEwdDtxDmgq2VIK0ISNGws2Hsm5QB78PQviQMLv7H7wpv5ON7hSpL7-Z9iV2Pzl5XMVjSZvF5CwKESZa8f6TKSPOOhpLg4BgoCmWK4w=s0-d
11,12,1,Silk threads Roll (Steamed Roll) 銀絲捲 [Yin Si Juan],"""Yin Si Juan"" is a steamed bun with folded hand drawn dough threads",24000,https://lh5.googleusercontent.com/proxy/GGig_Imi8HTqzMmOVy09u1qMT9PIvN4QIMVpP516rD5qNYCrkeWkUdijeSZmV8esdhMZZJ1_K8F_5yP3YBJOUQr_VHtjKiqmGiGtWZU5Ufd3hQT9Rg=s0-d
12,13,3,Radish Threads Cake 蘿蔔絲餅 [Lo Po Si Bing],"""Lo Po Si Bing"" is an oven baked snack with radish threads filling and decorated with sesame seeds on the top",8000,https://lh6.googleusercontent.com/proxy/3xIaknpJDhbMqAQWsfSqZJiOm_jvX2e3ucSHdMJRH9YPqmes1RV0-Uxj8my9A29cFUvegQ6aDOeCFEhZWO5uMsfSCBv9GA9kMDvNaLhDUmLXUUrIOg=s0-d
13,14,1,Fried Silk threads Roll (Fried Steamed Roll) 炸銀絲捲 [Zha Yin Si Juan],"""Zha Yin Si Juan"" is a deep fried version of steamed silk threads bun",12000,https://lh3.googleusercontent.com/proxy/k6HwlErYHCJK9jWm_IeGP9lLdYNvG6R0WaL_LBoSmuEBs_UdWA_R23wWkvYVTuoJlOJZ8OOzYetld9SNCFCnUCfLIEGqy7ivQRV7t-rfwZ9GE8IP8A=s0-d
14,15,1,Sticky rice ball (Glutinous rice ball) 飯糰 [Fan Tuan] 糯米糰 [Nuo Mi Tuan],"""Fan Tuan"" is a breakfast and snack with glutinous rice wrapped You Tiao(deep fried bread stick), Meat floss and pickle mustard",8000,https://lh6.googleusercontent.com/proxy/O1wVXtT6YJRUuLcvkupguLWus9H4IVQ2tdH9RiZebruK_oquq_jNeYuRIchJD7NyYop3T97AnbQ4TES7XPWLqqFvmCMFZH96rbVxGfZMeDN98i9f-A=s0-d
15,16,3,Egg pancake 蛋餅 [Dan Bing],"""Dan Bing"" is a breakfast or snack with one thin layer of crepe and one thin layer of egg wrapped to serve with soya sauce, chili sauce etc",70000,https://lh5.googleusercontent.com/proxy/51ydPep315Mhzj3dKPkshGo-UNd1DXo4X2bZgOwU0ZYtqhzKS1VIAbe_v4LMxpza5HdngBQ0fXz1Byr_X-Lo7gdgW7iZQWfxreDGHXdKWWnWqxH0RQ=s0-d
16,17,3,Red beans Clay oven roll 紅豆燒餅 [Hong Dou Shao Bing],"""Hong Dou Shao Bing"" also called Clay Oven Roll is a variety of baked flat and crispy bread with sesame on the top with sweet red beans paste filling, served with You Taio and Soy Milk as breakfast",2000,https://lh4.googleusercontent.com/proxy/KD-Bo1nt7dcm_OflGdGmgerkB6pUYZ1t5Pg98ObKzhagB3J84FrrezNvZEYj-ZOCrsPetaUdsrEXxrzmgRGNa60Y8a_bYtaamHZ-AY3fQpuwSqRdlg=s0-d
17,18,2,Steamed Sandwich 割包 [Gua Bao],"""Gua Bao"" also called Taiwanese Hamburger is a chinese white bread sandwich with sweet pork, pickled mustard, coriander and peanut powder",97000,https://lh6.googleusercontent.com/proxy/gdg6JYi9HBz0C5hN9EM86ULRLF77wxsspbbLRS78z-hdTh1_Pqq4TxnLj5mSHP_PqSnZuWTdXIA2euGb2tdjD0kQrYhqCgmjhVWbPUClHZOlUZ9pRw=s0-d
18,19,1,Steamed Creamy Custard Bun 奶黃(皇)包 [Nai Huang Bao],"""Nai Huang Bao"" is a steamed small whit bun with milky cream filling",20000,https://lh3.googleusercontent.com/proxy/7GtX8aHFOkl_O6RYwvxmQPpL-9Cwcwp2chfjRu3GnYnb2qUBC5vnRCFqVereAwxyN5Q6HzChIS5rmRa9CxSz2llr5tBdWnv_3cEFAzu2R8pdsLbTiQ=s0-d
19,20,1,Rice Cakes 鍋巴 [Gou Pa],"""Gou Pa"" is a rice cake from the dried rice at bottom of the rice pot",31000,https://lh4.googleusercontent.com/proxy/_fD_k-Cd8IY6R2Eb3L154tzL2kt9Q9JI8QQ--_mj75lLwpgpENSpJsSoopui25JraPT_uQ8m4VX7K6ECuHmIZ9sqCrS_-q2a2Yq8nez2WaeXKB_8gg=s0-d
20,21,2,"Chicken roll, meat roll 雞捲、肉捲 [Ji Jiuan, Rou Jiuan]","""Ji Jiuan, Rou Jiuan"" is a tofu skin wrapped fish paste mixed carrot, orion threads with chicken or pork in long shape and deep fried snack",13000,https://lh5.googleusercontent.com/proxy/elD1Lbzlms_hUAK4YKlySwjtzgbBRv3PeOsKpZ2fVm-mkvBQibmugwdJ8A1tT4faz_BxY8hndrUzNQIcTHNPd1iAvMA5isqCrzjHghlrkLM4bXg9tg=s0-d
21,22,1,Chinese Chives Scrambled Eggs 韭菜炒蛋 [Jiu Tsai Chao Dan],"""Jiu Tsai Chao Dan"" is a simple eggs scrambled with Chinese chives dish, excellent for male fertility, digestion, smooth down the diarrhea and help blood circulation but not suggest to breast feeding mom",96000,https://lh5.googleusercontent.com/proxy/NsegHSCDX61kcg8lwhqeixCcBKz3XBPhVaIw2dZNF8Dd0U9Sck5Apqz-FbWM9np2g-4C2wc5d9ST86GrWR00VaqQZUNsSC_hw_8-rf-wYVkVYmAkCw=s0-d
22,23,2,Hakka stir-fried 客家小炒 [Ke Jia Xiao Chao],"""Ke Jia Xiao Chao"" is a very common stir-fried Hakka(subgroup of chinese from central of china) dish with pork belly meat, dry squid, chinese chives and cooking rice wine",92000,https://lh4.googleusercontent.com/proxy/VHwcHR8x50xlrjFfe1mGSGfqfaCVniRXzOvqJdsW1Lh5q8SKE0nsxRIwe32bLOfidxtzUl4qRd50T2aOBbANrqHAjUmXufeL7IpSaCwkUwD1Fgatew=s0-d
23,24,2,Cold Rice Noodle with Porc Threads 肉絲拉皮 [Rou Se La Pi],"""Rou Se La Pi"" is a cold rice noodle dish with pork threads, cucumber threads and sesame oil",86000,https://lh6.googleusercontent.com/proxy/WR2JeRKoTeCmp73gGnzuqr9j0xTGbVvxzlLcqbmeJBJ6uzn5W8aj_MQxnYj0rwTKCqD6yrEkB95MWDDMcJRrt5FwU4KDqSi492evtbIgEvlej3DSBg=s0-d
24,25,2,Garlic Pork 蒜泥白肉 [Suan Ni Bai Rou],"""Suan Ni Bai Rou"" is a cold dish with boiled fat pork cut in slim slices with garlic spicy sauce",4000,https://lh5.googleusercontent.com/proxy/to-PdoV3055SiT4Oyqx17nhDpiU2QBzZgbXyM_ullqNMvCxP9znNVEF3ZOWL5ncIk6d5M7KF-pgmd8tEa1e46WcKMo7s5tU3XR0ZbhRo_bUYnUn6Pg=s0-d
25,26,1,Spicy Tripe 香辣百葉 [Xiang La Bai Yeh],"""Xiang La Bai Yeh"" is a spicy and crunchy appetizing cold dish with tripe, coriander, garlic, chili and sesame oil",74000,https://lh3.googleusercontent.com/proxy/9h1RS7W10zpSpcT7MfgyQf0nK6gFC-optlY0X3H86enRlVlT6rf7TMmsHagI2r7Kq1uptHDeqmf7sbgBGdjVl81BJ2i0rW3Z-tRBClJi6ao00ZiFrg=s0-d
26,27,3,Deep Fried Dough Twist 麻花 [Ma Hua],"""Ma Hua"" is a sweet snack, a deep fried hand drawn twisted dough with sugar or honey",100000,https://lh5.googleusercontent.com/proxy/Tjhv4fi1xNGn97l-RBwk5J3wWbKxd79aW1r84cKLuK4miJg2ncKyKa8bakGzA568g-YT_j7Rhj73ZTiMP43maUwCpUIYPo3h1Nx36pSf51Zod8JXnQ=s0-d
27,28,1,"Pot Stickers (Pan Stickers, Fried Dumplings) 鍋貼 [Gou Tie]","""Gou Tie"" is a pan fried dumpling with vegetarian or minced meat filling",64000,https://lh3.googleusercontent.com/proxy/6ATNyyy-MshRqAFVPrUMPa0hxyvFYFJqNbX4hCedUZPzJbc07fRfJME1UiKkIQxoSjUJZYmJyds7hr3z1IEAmHPHnoCVFdabHp4hvVw9ff6gMIkuDQ=s0-d
28,29,1,Dumplings (Gaoza) 餃子 [Jiao Zi],"""Jiao Zi"" is a Chinese pastry dumpling stuffed with vegetable and variety of meat",47000,https://lh5.googleusercontent.com/proxy/SPvr-amhYZsqWUvYM5DzHGnQZECxDbD7OL3auRs-0ZoR1_x45nt_YnGq0oOxwmg6HUh_Jt-F8QHbBI7zrhLJYVVg9yOTK_inxYq_ToOw1HExXR8yLQ=s0-d
29,30,2,Water Spinach with Fermented Tofu sauce 腐乳空心菜 [Fu Ru Kung Hsin Tsai],"""Fu Ru Kung Hsin Tsai"" (Ong Choy in cantonese) is a very common stir fried vegetable dish with water spinach",14000,https://lh3.googleusercontent.com/proxy/rNl-R5cUmqrD-nPe1X-0VHdINYuGiAnXXHrUl6B84CoTn9O2RjP35eDEaDP4ecwYwjKZgpyPgEJhbTcTa4lE03QgVCeK0cT0mBoVXhzofv7V8SCYgA=s0-d
30,31,2,Garlic Ribs 蒜香排骨 [Suan Xiang Pai Gu],"""Suan Siang Pai Gu"" is a deep fried marinated pork ribs with garlic taste dish",49000,https://lh5.googleusercontent.com/proxy/BrTs7GtYNg8D3a6ZyhOp02RpC7D49M9TsvjSKh9rkz_rIfmmVRsv9z7TR6MTQgeQM3aNFdWIYMbZO7MOO9yjEs2jWFAfNDnFk0OHZrpXjVKTsXY3dA=s0-d
31,32,1,Taiwanese Glutinous oil rice 油飯 [You Fan],"""You Fan"" is a snack dish with steamed glutinous (sticky) rice mixed with braised pork sauce, mushroom threads, little dry shrimp and garnished with coriander, served often with a special taiwanese sweet and spicy Hai Shan sauce",64000,https://lh3.googleusercontent.com/proxy/lPOLRvdR4aIwOUFV5LL16Uvp2dJitpLurw5AOcP2sKML6eTNODt878wuSym7o0GyGFIMlwKxxODG-G4XxGWmu2c-csNt8x2fsAjNYQfjtNErbJXpXg=s0-d
32,33,2,Taiwanese Meat Soup 肉羹 [Rou Geng],"""Rou Geng"" is a popular taiwanese snack stand dish, boiled pork and fish paste shaped by hand, served in a thick mushroom, Chinese white cabbage and bamboo sprouts soup",39000,https://lh4.googleusercontent.com/proxy/MnZcbkCxALAsRWOQfzgTI3dpx9Mvq1dFdD5D2fSOmEmWvkli10JYFlllFDYhxACRtN2bzWfm2kJHSwtKw1nd4oshrpf78qg_MAfMkz5ZhSLMaVQfzA=s0-d
33,34,2,Double Cooked Pork 回鍋肉 [Huei Guo Rou],"""Huei Guo Rou"" is a pork dish, one of the best known Sichuan dishes with skin and fat pork meat boiled and stir-fried with vegetable and chili sauce",34000,https://lh4.googleusercontent.com/proxy/4gUJsjZH5T3t2KoooTU-bYSD2ysaMYDsPMcj41vQQo7aOqfiLakkjpDGE9xYNjTt3v5JAdntsZACJKdiMWRGo-nGMbkPXSJsW6WfL7KsK-KYnXXosw=s0-d
34,35,1,Shrimps Tofu 蝦仁豆腐 [Xia Ren Dou Fu],"""Xia Ren Dou Fu"" is a dish with shrimps and soft tofu, garnished with green peas",52000,https://lh6.googleusercontent.com/proxy/nMUuq2DuKQCvFjC4YDTyqYs04JddKb3OKSDzv4cm10FiHZuTU_dI3kO9UL9s7B4Wd-QTFBdQ5Xzut7BixpUfKNgTwvLV8SIoRRlwLgnVqjq9yRldPQ=s0-d
35,36,2,Sweet & Sour Shrimps 糖醋蝦仁 [Tang Tsu Xia Ren],"""Tang Tsu Xia Ren"" is a variety Sweet and Sour sauce dish with shrimps instead of pork",68000,https://lh6.googleusercontent.com/proxy/-ikjbyJyUjENgpX5w6ZIEc3LqVD-UG7FVZiOFVy-D075Dd4dbqXJ312XdTAbe0-K5YhJiIoVeMCj4Oe-vNyHUcWT_DUmBfRsTbNMDRMk98giuUVDWQ=s0-d
36,37,2,Mapo Tofu 麻婆豆腐 [Ma Po Dou Fu],"""Ma Po Tofu"" is a chili fried tofu (bean curd) with minced pork or beef's very popular spicy dish",21000,https://lh6.googleusercontent.com/proxy/QLSlENDCT50neAwHHFzE3XTqB_495PhlNyd6V1cT3lKyawpQ-A-rF0DVs8jtZbAVx5o8AL0d-at8ukTwM6-iOqg1RKQMEyWf_KEq7kPl9v2eA9FINQ=s0-d
37,38,1,Stir-fried Yam 滑炒山藥 [Hua Chao Shan Yao],"""Hua Chao Shan Yao"" is a high in Vitamin C and B6 stir-fried Yam healthy dish, good for heart and potassium-sodium balance",77000,https://lh4.googleusercontent.com/proxy/OZTyMtsDH01bLknUJPFe439x7P7WWTAR53IHqiPqOcuzjja1C42eRAHia6V1x1VFHl84_YoK6eNE_j5e15C2lDkJfnoRtLeXZ9fAvpWkLsw08vOrCw=s0-d
38,39,4,Mineral Water,Drinkable water,2000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuWEi1CYosAX1d8AaXif0ib5D85Fn7ld61Hg&usqp=CAU
39,40,4,Tea,Available Refillable tea: Oolong, Chrysanthemum, Pu-er, Green Tea, Guan Yin,7500,https://media.istockphoto.com/photos/chinese-tea-ceremony-picture-id1171722169?b=1&k=20&m=1171722169&s=170667a&w=0&h=3Nk2MPCRegQdrWxxhhFEoiMcq1bIPC8RjPVUvlJdyew=